Brownlowia tersa ,Kandelia candel ,Scyphiphora hydrophyllacea ,Xylocarpus granatum ,Xylocarpus mekongensis ,Phoenix paludosa , Nypa fruticans,,,,,,,,,,,,,,,,,,,
Avicennia marina,Rhizophora apiculata ,Rhizophorata mucronata,,,,,,,,,,,,,,,,,,,,,,,
Avicennia alba ,Avicennia officinalis ,Aegialitis rotundifolia ,Aegiceras corniculatum ,Heritiera fomes ,Bruguiera cylindrica ,Bruguiera gymnorrhiza,Bruguiera sexangula ,Ceriops decandra ,Ceriops tagal,Kandelia candel ,Rhizophora apiculata ,Rhizophorata mucronata,Exocoecaria agallocha ,Sonneratia caeseolaris ,sonneratia apetala,Sonneratia griffithi,Lumnitzera racemosa,Xylocarpus granatum ,Xylocarpus mekongensis ,Phoenix paludosa , Nypa fruticans,,,,
Acanthus ilicifolius ,Avicennia alba ,Avicennia officinalis ,Aegialitis rotundifolia ,Aegiceras corniculatum ,Ceriops tagal,Exocoecaria agallocha ,sonneratia apetala,Phoenix paludosa ,,,,,,,,,,,,,,,,,
Acanthus ilicifolius ,Avicennia alba ,Avicennia marina,Avicennia officinalis ,Aegialitis rotundifolia ,Aegiceras corniculatum ,Brownlowia tersa ,Heritiera fomes ,Heritiera littoralis ,Bruguiera cylindrica ,Bruguiera gymnorrhiza,Bruguiera parviflora,Ceriops decandra ,Kandelia candel ,Rhizophora apiculata ,Rhizophorata mucronata,Exocoecaria agallocha ,Sonneratia alba,Sonneratia caeseolaris ,sonneratia apetala,Lumnitzera racemosa,Cynometra ramiflora ,Xylocarpus granatum ,Xylocarpus mekongensis ,Xylocarpus moluccensis ,Phoenix paludosa 
Avicennia marina,Heritiera fomes ,Heritiera littoralis ,Rhizophora apiculata ,Rhizophorata mucronata,sonneratia apetala,,,,,,,,,,,,,,,,,,,,
Avicennia alba ,Avicennia marina,Avicennia officinalis ,Aegialitis rotundifolia ,Aegiceras corniculatum ,Heritiera fomes ,Heritiera globosa,Bruguiera gymnorrhiza ,Bruguiera sexangula ,Bruguiera parviflora,Ceriops decandra ,Exocoecaria agallocha ,Kandelia candel ,Rhizophorata mucronata ,sonneratia apetala,Sonneratia griffithi,Lumnitzera racemosa,,,,,,,,,
Acanthus ilicifolius ,Avicennia alba ,Avicennia marina,Avicennia officinalis ,Aegiceras corniculatum ,Bruguiera cylindrica ,Ceriops decandra ,Exocoecaria agallocha,sonneratia apetala ,,,,,,,,,,,,,,,,,
Acanthus ilicifolius ,Avicennia alba ,Avicennia marina,Avicennia officinalis ,Aegiceras corniculatum ,Bruguiera cylindrica ,Bruguiera gymnorrhiza ,Ceriops decandra ,Rhizophora apiculata ,Rhizophorata mucronata,Exocoecaria agallocha ,Scyphiphora hydrophyllacea,Sonneratia alba,sonneratia apetala,Lumnitzera racemosa,Xylocarpus moluccensis,,,,,,,,,,
Acanthus ilicifolius ,Avicennia alba ,Avicennia marina,Avicennia officinalis ,Aegiceras corniculatum ,Bruguiera cylindrica ,Bruguiera gymnorrhiza ,Ceriops decandra ,Rhizophora apiculata ,Rhizophorata mucronata,Exocoecaria agallocha ,Sonneratia caeseolaris,sonneratia apetala,Lumnitzera racemosa ,Xylocarpus mekongensis ,,,,,,,,,,,
Acanthus ilicifolius ,Avicennia alba ,Avicennia marina,Avicennia officinalis ,Aegiceras corniculatum ,Bruguiera cylindrica ,Bruguiera gymnorrhiza ,Ceriops decandra ,Rhizophora apiculata ,Rhizophorata mucronata,Exocoecaria agallocha ,Sonneratia apetala,Lumnitzera racemosa ,,,,,,,,,,,,,
Acanthus ilicifolius ,Avicennia alba ,Avicennia marina,Avicennia officinalis ,Aegiceras corniculatum ,Bruguiera cylindrica ,Bruguiera gymnorrhiza ,Ceriops decandra ,Rhizophora apiculata ,Rhizophorata mucronata,Exocoecaria agallocha ,Lumnitzera racemosa ,,,,,,,,,,,,,,
Avicennia marina,Avicennia officinalis ,Exocoecaria agallocha ,,,,,,,,,,,,,,,,,,,,,,,
Acanthus ilicifolius ,Avicennia marina,Aegiceras corniculatum ,Ceriops decandra,Rhizophora apiculata ,Rhizophorata mucronata,Exocoecaria agallocha ,Lumnitzera racemosa ,,,,,,,,,,,,,,,,,,
Acanthus ilicifolius,Avicennia marina,Avicennia officinalis ,Aegiceras corniculatum,Bruguiera cylindrica ,Ceriops decandra,Rhizophora apiculata ,Rhizophorata mucronata,Rhizophora annamalayana,Exocoecaria agallocha ,Sonneratia apetala,Lumnitzera racemosa ,Xylocarpus granatum,,,,,,,,,,,,,
Acanthus ilicifolius ,Avicennia alba ,Avicennia marina,Avicennia officinalis ,Bruguiera gymnorrhiza ,Bruguiera parviflora,Kandelia candel ,Rhizophora apiculata ,Rhizophorata mucronata,Exocoecaria agallocha ,Acrostichum aureum,,,,,,,,,,,,,,,
Acanthus ilicifolius ,Avicennia alba ,Avicennia marina,Avicennia officinalis ,Aegiceras corniculatum ,Bruguiera cylindrica ,Bruguiera gymnorrhiza ,Ceriops tagal ,Kandelia candel ,Rhizophora apiculata ,Rhizophorata mucronata,Exocoecaria agallocha ,Sonneratia alba,Sonneratia caeseolaris ,Lumnitzera racemosa ,,,,,,,,,,,
