Mangrove,Genus,Family,Order,Superorder,Class
Acanthus ilicifolius Linnaeus,Acanthus,Acanthaceae,Lamiales,Asteranae ,Magnoliopsida
Avicennia alba Blume,Avicennia,Acanthaceae,Lamiales,Asteranae ,Magnoliopsida
Avicennia marina (Forsk.) Vierh,Avicennia,Acanthaceae,Lamiales,Asteranae ,Magnoliopsida
Avicennia officinalis L.,Avicennia,Acanthaceae,Lamiales,Asteranae ,Magnoliopsida
Nypa fruticans (Thunb.) Wurmb. ,Nypa,Arecaceae,Arecales ,Lilianae,Magnoliopsida
Lumnitzera racemosa Willd.,Lumnitzera,Combretaceae,Myrtales,Rosanae ,Magnoliopsida
Exocoecaria agallocha L.,Excoecaria ,Euphorbiaceae,Malpighiales,Rosanae ,Magnoliopsida
Cynometra ramiflora L.,Cynometra,Fabaceae ,Fabales,Rosanae ,Magnoliopsida
Sonneratia alba J. Smith,Sonneratia,Lythraceae,Myrtales,Asteranae,Magnoliopsida
Sonneratia caeseolaris (L.) Engl.,Sonneratia,Lythraceae,Myrtales,Rosanae ,Magnoliopsida
sonneratia apetala Buch. - Ham,Sonneratia,Lythraceae,Myrtales,Rosanae ,Magnoliopsida
Sonneratia griffithi Kurz ,Sonneratia,Lythraceae,Myrtales,Rosanae ,Magnoliopsida
Heritiera globosa Kostermans,Heritiera,Malvaceae,Malvales,Rosanae,Magnoliopsida
Heritiera fomes Buch.-Ham,Heritiera,Malvaceae ,Malvales,Rosanae,Magnoliopsida
Heritiera littoralis Dryand,Heritiera,Malvaceae ,Malvales,Rosanae,Magnoliopsida
Xylocarpus granatum J. Konig,Xylocarpus ,Meliacene,Sapindales,Rosanae ,Magnoliopsida
Xylocarpus mekongensis Pierre. ,Xylocarpus ,Meliacene,Sapindales,Rosanae ,Magnoliopsida
Xylocarpus moluccensis (Lamk.),Xylocarpus ,Meliacene,Sapindales,Rosanae ,Magnoliopsida
Phoenix paludosa Roxb.,Phonix,Palmae,Arecales,Lilianae,Liliopsida
Aegialitis rotundifolia Roxb.,Aegialitis,Plumbaginaceae,Caryophyllales,Caryophyllanae ,Magnoliopsida
Aegiceras corniculatum (L.) Blanco,Aegiceras,Primulaceae,Ericales,Asteranae,Magnoliopsida
Acrostichum aureum L.,Acrostichum,Pteridaceae,Polypodiales,Lilianae,Polypodiopsida
Bruguiera cylindrica (L.) Blume,Bruguiera,Rhizophoraceae,Malpighiaes,Rosanae ,Magnoliopsida
Bruguiera gymnorrhiza (L.) Savigny,Bruguiera,Rhizophoraceae,Malpighiaes,Rosanae ,Magnoliopsida
Bruguiera sexangula (Lour.) Poir.,Bruguiera,Rhizophoraceae,Malpighiaes,Rosanae ,Magnoliopsida
Bruguiera parviflora,Bruguiera,Rhizophoraceae,Malpighiaes,Rosanae ,Magnoliopsida
Ceriops decandra (Griff) Ding Hou,Ceriops,Rhizophoraceae ,Malpighiaes,Rosanae ,Magnoliopsida
Ceriops tagal (Perr. C. B. Roby),Ceriops,Rhizophoraceae ,Malpighiaes,Rosanae ,Magnoliopsida
Kandelia candel Druce,Kandelia,Rhizophoraceae ,Malpighiaes,Rosanae ,Magnoliopsida
Rhizophora apiculata Blume,Rhizophora,Rhizophoraceae ,Malpighiaes,Rosanae ,Magnoliopsida
Rhizophorata mucronata Lamk,Rhizophora,Rhizophoraceae ,Malpighiaes,Rosanae ,Magnoliopsida
Rhizophora annamalayana Kathiresan,Rhizophora,Rhizophoraceae ,Malpighiaes,Rosanae ,Magnoliopsida
Scyphiphora hydrophyllacea C. F. Gaertn,Scyphiphora,Rubiaceae,Gentianales,Asteranae,Magnoliopsida
Brownlowia tersa (L.) Kosterm ,Brownlowia,Tiliaceae ,Malvales,Rosanae,Magnoliopsida
