,row,col,value
1,Acanthus ilicifolius Linnaeus,Acanthus ilicifolius Linnaeus,0
2,Avicennia alba Blume,Acanthus ilicifolius Linnaeus,21.97305838
3,Avicennia marina (Forsk.) Vierh,Acanthus ilicifolius Linnaeus,21.97305838
4,Avicennia officinalis L.,Acanthus ilicifolius Linnaeus,21.97305838
5,Nypa fruticans (Thunb.) Wurmb. ,Acanthus ilicifolius Linnaeus,73.19245379
6,Lumnitzera racemosa Willd.,Acanthus ilicifolius Linnaeus,73.19245379
7,Exocoecaria agallocha L.,Acanthus ilicifolius Linnaeus,73.19245379
8,Cynometra ramiflora L.,Acanthus ilicifolius Linnaeus,73.19245379
9,Sonneratia alba J. Smith,Acanthus ilicifolius Linnaeus,73.19245379
10,Sonneratia caeseolaris (L.) Engl.,Acanthus ilicifolius Linnaeus,73.19245379
11,sonneratia apetala Buch. - Ham,Acanthus ilicifolius Linnaeus,73.19245379
12,Sonneratia griffithi Kurz ,Acanthus ilicifolius Linnaeus,73.19245379
13,Heritiera globosa Kostermans,Acanthus ilicifolius Linnaeus,73.19245379
14,Heritiera fomes Buch.-Ham,Acanthus ilicifolius Linnaeus,73.19245379
15,Heritiera littoralis Dryand,Acanthus ilicifolius Linnaeus,73.19245379
16,Xylocarpus granatum J. Konig,Acanthus ilicifolius Linnaeus,73.19245379
17,Xylocarpus mekongensis Pierre. ,Acanthus ilicifolius Linnaeus,73.19245379
18,Xylocarpus moluccensis (Lamk.),Acanthus ilicifolius Linnaeus,73.19245379
19,Phoenix paludosa Roxb.,Acanthus ilicifolius Linnaeus,100
20,Aegialitis rotundifolia Roxb.,Acanthus ilicifolius Linnaeus,73.19245379
21,Aegiceras corniculatum (L.) Blanco,Acanthus ilicifolius Linnaeus,73.19245379
22,Acrostichum aureum L.,Acanthus ilicifolius Linnaeus,100
23,Bruguiera cylindrica (L.) Blume,Acanthus ilicifolius Linnaeus,73.19245379
24,Bruguiera gymnorrhiza (L.) Savigny,Acanthus ilicifolius Linnaeus,73.19245379
25,Bruguiera sexangula (Lour.) Poir.,Acanthus ilicifolius Linnaeus,73.19245379
26,Bruguiera parviflora,Acanthus ilicifolius Linnaeus,73.19245379
27,Ceriops decandra (Griff) Ding Hou,Acanthus ilicifolius Linnaeus,73.19245379
28,Ceriops tagal (Perr. C. B. Roby),Acanthus ilicifolius Linnaeus,73.19245379
29,Kandelia candel Druce,Acanthus ilicifolius Linnaeus,73.19245379
30,Rhizophora apiculata Blume,Acanthus ilicifolius Linnaeus,73.19245379
31,Rhizophorata mucronata Lamk,Acanthus ilicifolius Linnaeus,73.19245379
32,Rhizophora annamalayana Kathiresan,Acanthus ilicifolius Linnaeus,73.19245379
33,Scyphiphora hydrophyllacea C. F. Gaertn,Acanthus ilicifolius Linnaeus,73.19245379
34,Brownlowia tersa (L.) Kosterm ,Acanthus ilicifolius Linnaeus,73.19245379
35,Acanthus ilicifolius Linnaeus,Avicennia alba Blume,21.97305838
36,Avicennia alba Blume,Avicennia alba Blume,0
37,Avicennia marina (Forsk.) Vierh,Avicennia alba Blume,17.74028793
38,Avicennia officinalis L.,Avicennia alba Blume,17.74028793
39,Nypa fruticans (Thunb.) Wurmb. ,Avicennia alba Blume,73.19245379
40,Lumnitzera racemosa Willd.,Avicennia alba Blume,73.19245379
41,Exocoecaria agallocha L.,Avicennia alba Blume,73.19245379
42,Cynometra ramiflora L.,Avicennia alba Blume,73.19245379
43,Sonneratia alba J. Smith,Avicennia alba Blume,73.19245379
44,Sonneratia caeseolaris (L.) Engl.,Avicennia alba Blume,73.19245379
45,sonneratia apetala Buch. - Ham,Avicennia alba Blume,73.19245379
46,Sonneratia griffithi Kurz ,Avicennia alba Blume,73.19245379
47,Heritiera globosa Kostermans,Avicennia alba Blume,73.19245379
48,Heritiera fomes Buch.-Ham,Avicennia alba Blume,73.19245379
49,Heritiera littoralis Dryand,Avicennia alba Blume,73.19245379
50,Xylocarpus granatum J. Konig,Avicennia alba Blume,73.19245379
51,Xylocarpus mekongensis Pierre. ,Avicennia alba Blume,73.19245379
52,Xylocarpus moluccensis (Lamk.),Avicennia alba Blume,73.19245379
53,Phoenix paludosa Roxb.,Avicennia alba Blume,100
54,Aegialitis rotundifolia Roxb.,Avicennia alba Blume,73.19245379
55,Aegiceras corniculatum (L.) Blanco,Avicennia alba Blume,73.19245379
56,Acrostichum aureum L.,Avicennia alba Blume,100
57,Bruguiera cylindrica (L.) Blume,Avicennia alba Blume,73.19245379
58,Bruguiera gymnorrhiza (L.) Savigny,Avicennia alba Blume,73.19245379
59,Bruguiera sexangula (Lour.) Poir.,Avicennia alba Blume,73.19245379
60,Bruguiera parviflora,Avicennia alba Blume,73.19245379
61,Ceriops decandra (Griff) Ding Hou,Avicennia alba Blume,73.19245379
62,Ceriops tagal (Perr. C. B. Roby),Avicennia alba Blume,73.19245379
63,Kandelia candel Druce,Avicennia alba Blume,73.19245379
64,Rhizophora apiculata Blume,Avicennia alba Blume,73.19245379
65,Rhizophorata mucronata Lamk,Avicennia alba Blume,73.19245379
66,Rhizophora annamalayana Kathiresan,Avicennia alba Blume,73.19245379
